username	password	first_name	last_name	roles
owner	owner	O	Owner	Inventory Clerk,Salesperson,Manager
user01	pass01	Valentine	Rhymes	Salesperson
user02	pass02	Bulah	Heintzman	Manager
user03	pass03	Theodora	Ehmann	Salesperson
user04	pass04	Raul	Hochard	Inventory Clerk
user05	pass05	Xuan	Mclaird	Inventory Clerk
user06	pass06	Carin	Saylors	Inventory Clerk
user07	pass07	Jesusita	Duenas	Salesperson
user08	pass08	Reita	Menter	Salesperson
user09	pass09	Beckie	Meinerding	Inventory Clerk
user10	pass10	Sue	Wieser	Inventory Clerk
user11	pass11	Iluminada	Husser	Inventory Clerk
user12	pass12	James	Parlato	Salesperson
user13	pass13	Arminda	Lindall	Inventory Clerk
user14	pass14	Malcolm	Stem	Salesperson
user15	pass15	Raul	Colaizzo	Inventory Clerk
user16	pass16	Candida	Pugh	Inventory Clerk
user17	pass17	Sharee	Gillaspie	Manager
user18	pass18	Raina	Drymon	Inventory Clerk
user19	pass19	Peggie	Toelkes	Inventory Clerk
user20	pass20	Luisa	Ruta	Salesperson
user21	pass21	Thaddeus	Malvin	Salesperson
user22	pass22	Clorinda	Chickering	Inventory Clerk
user23	pass23	Cheryl	Maillard	Salesperson
user24	pass24	Raylene	Galam	Manager
user25	pass25	Loreta	Vanausdal	Salesperson
